"student_id","first_name","last_name","type_id_number","identification_number","date_of_birth","email","address","gender","nationality","country_code","phone_number","program","state_program","current_semester","Number_of_credits_approved","credits_remaining","GPA","enrollment_date","student_status","advisor_id","advisor_name","scholarship","payment_status","academic_standing","course_load","marital_status","library_books_borrowed"
"STU000000","Andrew","Hall","CC","3518152630","2002-09-19","andrew.hall@university.edu.co","3568 Smith Throughway, West Timothy, IL 90096","Male","Colombia","+57","3838171300","Accounting","Enrolled","2","34","132","4.085148772662892","2021-05-31","Active","ADV0004","Christine Carroll","False","Late","Good","16","Single","2"
"STU000001","Stephen","Hall","CC","5358053521","2001-06-07","stephen.hall@university.edu.co","42036 Caitlin Vista, Nelsonborough, AL 44777","Male","Colombia","+57","3816172916","Mechanical Engineering","Enrolled","1","19","135","3.238662899959285","2023-09-23","Active","ADV0005","Megan Marshall","False","Pending","Average","20","Single","3"
"STU000002","Joel","Peck","CC","2779848847","2003-05-30","joel.peck@university.edu.co","0524 Claire Ports, South Lisahaven, AL 09579","Male","Colombia","+57","3324844841","Medicine","Withdrawn","2","54","98","3.588182146202668","2024-12-15","Inactive","ADV0025","Spencer Clark","False","Paid","Average","18","Single","4"
"STU000003","Rachael","Bowman","CC","1687254575","2000-08-05","rachael.bowman@university.edu.co","96660 Cole Track Apt. 892, Lake Anna, FM 50804","Female","Colombia","+57","3947415068","Psychology","Enrolled","6","110","48","3.7592318962516926","2024-12-28","Active","ADV0006","Debbie Barr","False","Late","Average","16","Single","5"
"STU000004","Joseph","Jones","CC","6801711463","2000-04-01","joseph.jones@university.edu.co","877 Perkins Village, South Jonathan, NJ 28334","Male","Colombia","+57","3970997797","Information Technology","Enrolled","3","52","99","3.2090910243896476","2022-03-10","Active","ADV0046","John Lynn","False","Late","Average","18","Single","7"
"STU000005","Joshua","Robertson","CC","134700836","2002-07-24","joshua.robertson@university.edu.co","8570 Hanson Way Suite 878, East Mason, AK 89559","Male","Colombia","+57","3838479025","Computer Science","Enrolled","5","88","87","3.0585326806480735","2023-08-12","Active","ADV0028","Sean Edwards","False","Paid","Average","15","Single","5"
"STU000006","Nicole","Williams","CC","6372425337","2001-08-19","nicole.williams@university.edu.co","4846 Martinez Station Suite 825, West Tammy, NJ 99886","Other","Colombia","+57","3836054456","Software Engineering","Enrolled","8","144","26","4.1813754537681564","2022-05-15","Active","ADV0049","John Landry","False","Pending","Good","16","Single","1"
"STU000007","Donald","Wallace","CC","6292065570","2004-12-31","donald.wallace@university.edu.co","538 Murray Bridge Suite 838, North Lisaland, AZ 98363","Male","Colombia","+57","3864798809","Business Administration","Enrolled","6","79","79","4.534984817461227","2024-08-24","Active","ADV0016","John Hernandez","True","Late","Excellent","16","Single","6"
"STU000008","Andrew","Neal","CC","4137248878","2002-08-12","andrew.neal@university.edu.co","86683 Margaret Drive, New Carlview, VA 84608","Male","Ecuador","+593","9999449719","Medicine","Enrolled","5","94","84","3.3914557889021384","2023-06-17","Active","ADV0027","Katherine Freeman","False","Paid","Average","20","Single","3"
"STU000009","Kimberly","Figueroa","CC","5134206474","2005-05-22","kimberly.figueroa@university.edu.co","97122 Fletcher Ports Apt. 314, Port Brenda, NV 55728","Female","Colombia","+57","3957525995","Data Science","Enrolled","4","66","74","3.6555511430127705","2023-01-31","Active","ADV0029","Donald Vaughn","False","Paid","Average","16","Single","3"
"STU000010","Jason","Robinson","CC","5634507038","1999-06-07","jason.robinson@university.edu.co","53076 Archer Ports Suite 142, Garrisonland, MA 66217","Male","USA","+1","5224749331","Music","Withdrawn","5","0","174","4.495876891146488","2022-01-28","Inactive","ADV0019","Larry Ford","False","Paid","Good","16","Single","1"
"STU000011","Bruce","Best","CC","9782420978","2006-11-24","bruce.best@university.edu.co","2892 Alexander Tunnel Suite 729, Terryville, MN 21857","Male","Colombia","+57","3436883261","Political Science","Enrolled","4","72","73","3.421951820186503","2022-09-14","Active","ADV0027","Jeremy Stephens","False","Paid","Average","15","Single","1"
"STU000012","Samantha","Hunter","CC","8376949885","1999-12-04","samantha.hunter@university.edu.co","202 Pierce Points Suite 062, Silvamouth, UT 26039","Female","Peru","+51","9494954839","Cybersecurity","Withdrawn","3","70","92","3.3858192933753575","2024-03-06","Inactive","ADV0018","Gabriel Carter","False","Paid","Average","17","Married","1"
"STU000013","Leslie","Schneider","CC","2242542851","2000-09-17","leslie.schneider@university.edu.co","94276 Daniel Manor, South Tashaburgh, AS 74784","Female","Colombia","+57","3144879846","Medicine","Enrolled","7","126","21","3.8705775419102544","2023-08-03","Active","ADV0038","Donald Thomas","False","Late","Average","19","Single","3"
"STU000014","Donna","Little","CC","8010061457","2005-10-29","donna.little@university.edu.co","51577 Danny Estate, North Richard, KY 36412","Female","Colombia","+57","3626422262","International Relations","Enrolled","4","68","85","4.0070891756840386","2024-01-06","Active","ADV0004","Justin Anderson","False","Paid","Good","16","Single","4"
"STU000015","Ernest","Hernandez","CC","6381596549","2000-09-29","ernest.hernandez@university.edu.co","1294 Richard Cove, East Travis, DC 59326","Male","Colombia","+57","3314836877","Medicine","Enrolled","5","83","76","2.993764550589921","2024-01-04","Active","ADV0041","Alyssa Wood","False","Late","Poor","18","Single","2"
"STU000016","Tina","Campbell","CC","1499119777","2002-07-24","tina.campbell@university.edu.co","Unit 9427 Box 4277, DPO AA 58068","Female","Colombia","+57","3396352350","Chemistry","Withdrawn","4","78","89","3.217587482186455","2023-03-29","Inactive","ADV0045","Scott James","False","Late","Average","15","Married","4"
